,job_title,company_name,location,ctc_min(R$),ctc_max(R$),ctc_mean(R$),experience_min(years),experience_required(years),experience_mean(years),posted(days)
0,Business Development Associate,Break The Code,Mumbai,11765.0,17647.0,14706.0,0,1,0.5,3
1,IELTS/PTE/Spoken English Trainer,DePioneer Education Overseas,Delhi,17647.0,20588.0,19118.0,0,2,1.0,7
2,Fashion Designer,Valkyre Clothing,Mumbai,17647.0,20588.0,19118.0,0,2,1.0,3
3,Corporate Sales Executive,Kompass India Information Private Limited,Mumbai,11765.0,23529.0,17647.0,0,5,2.5,21
4,Junior Python Developer,Extension Technologies Private Limited,Faridabad,14118.0,21176.0,17647.0,0,2,1.0,14
5,Social Media Manager,Brilliance Academy,Work from home,14118.0,17647.0,15882.0,0,2,1.0,7
6,Video Editor & Graphic Designer,Brilliance Academy,Work from home,14118.0,17647.0,15882.0,0,2,1.0,7
7,Business Development Executive,Physics Wallah,Kozhikode,11765.0,14706.0,13235.0,0,1,0.5,1
8,Sales Associate,PolicyBazaar.com,Gurgaon,14824.0,23529.0,19176.0,0,4,2.0,4
9,Domain Specialist Company Secretary,ClearTax,Bangalore,41176.0,5882.0,23529.0,0,2,1.0,2
10,Senior Tax Expert- Semi CA,ClearTax,"Delhi, Bangalore",29412.0,47059.0,38235.0,1,3,2.0,2
11,Customer Success Manager,ClearTax,Bangalore,23529.0,41176.0,32353.0,0,5,2.5,2
12,Inside Sales Manager,ClearTax,Bangalore,17647.0,29412.0,23529.0,1,5,3.0,2
13,Data Analyst,Media.net,Mumbai,23529.0,29412.0,26471.0,1,0,0.5,6
14,Copywriter/Creative Strategist,Hansa Cequity,Mumbai,11765.0,29412.0,20588.0,1,5,3.0,7
15,HTML Developer,Hansa Cequity,Mumbai,11765.0,20588.0,16176.0,1,3,2.0,7
16,Trainee Business Associate,Porter,Nashik,16176.0,0.0,8088.0,0,2,1.0,21
17,Associate Product Manager,Cardekho.com,Jaipur,29412.0,41176.0,35294.0,0,5,2.5,3
18,Finance Teacher,BrightChamps Tech Private Limited,Work from home,17647.0,0.0,8824.0,0,2,1.0,3
19,Inside Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,12353.0,12823.0,12588.0,0,2,1.0,3
20,Corporate Sales Executive,Godrej Properties Limited,Pune,29412.0,5882.0,17647.0,0,5,2.5,3
22,Junior Operations Associate,Frontier,Work from home,11765.0,21176.0,16471.0,0,2,1.0,1
23,Business Development Trainee,Kalvium,Bangalore,29412.0,0.0,14706.0,0,5,2.5,1
24,US IT Recruiter,Spectraforce Technologies,Mohali,17647.0,23529.0,20588.0,0,2,1.0,2
25,Business Development Associate,Urban Company,Delhi,14706.0,17647.0,16176.0,0,2,1.0,2
26,Business Development Associate,Urban Company,Bangalore,11765.0,17647.0,14706.0,0,2,1.0,2
27,Program Manager,Kalvium,Bangalore,41176.0,0.0,20588.0,0,5,2.5,3
28,Business Development Executive,Apollo Home Healthcare Limited,Delhi,14706.0,27941.0,21324.0,0,2,1.0,3
29,Product Support Executive-Technology,InCred Financial Services Limited,Mumbai,18824.0,18824.0,18824.0,0,2,1.0,3
30,Scheduling Executive,Viacom 18 Media Private Limited,Bangalore,23529.0,29412.0,26471.0,0,5,2.5,3
31,Inside Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,12941.0,15294.0,14118.0,0,2,1.0,3
32,Business Development Associate,BYJUS The Learning App,"Chandigarh, Delhi, Gurgaon, Jaipur, Uttarkashi, Noida, Gujarat",12353.0,18824.0,15588.0,0,2,1.0,3
33,Academic Counselor,CollegeDekho.com,Gurgaon,15294.0,23529.0,19412.0,0,2,1.0,3
34,Business Development Associate,CollegeDekho.com,Gurgaon,14118.0,32353.0,23235.0,0,5,2.5,3
35,Associate Center Manager,Cultfit Healthcare Private Limited,Mumbai,11765.0,17647.0,14706.0,0,2,1.0,3
36,Business Development Associate,BYJUs,"Keralassery, Andra, Bangalore, Tamil Nadu",41176.0,47059.0,44118.0,0,5,2.5,3
37,Customer Success Associate,Vertex Cosmos,"Jaipur, Rajasthan",17647.0,20000.0,18824.0,0,2,1.0,3
38,Academic Counsellor,CollegeDekho.com,Gurgaon,16471.0,26471.0,21471.0,0,2,1.0,4
39,Business Development Associate,Netscribes (India) Private Limited,Mumbai,14118.0,17647.0,15882.0,0,2,1.0,4
40,Human Resources (HR) Associate,SBI Funds Management Limited,Mumbai,11765.0,14706.0,13235.0,0,2,1.0,4
41,Home Consultant,Pepperfry,Mumbai,14706.0,20588.0,17647.0,0,2,1.0,4
42,Business Development Associate,BYJU'S The Learning App,"Gujarat, Rajasthan, Delhi",41176.0,47059.0,44118.0,0,5,2.5,4
43,RETAIL PARTNER (TEAM LEADER),Bajaj Allianz Life Insurance Company Limited,Work from home,11765.0,17647.0,14706.0,0,2,1.0,4
44,Field Sales Executive,NoBroker Technologies Solutions Private Limited,Mumbai,17647.0,29412.0,23529.0,0,5,2.5,5
45,HR Executive,Mynd Solutions Private Limited,Noida,14706.0,17647.0,16176.0,0,2,1.0,5
46,Relationship Manager,HiyaMee Private Limited,Mumbai,22059.0,23529.0,22794.0,0,2,1.0,5
47,Business Development Associate,BYJUs,Udaipur,44118.0,50000.0,47059.0,0,5,2.5,5
48,Junior Engineer,Enphase Solar Energy,"Delhi, Noida, Mumbai, Pune, Ghaziabad",23529.0,0.0,11765.0,0,2,1.0,6
49,Executive - Product Support,Directi,"Bangalore, Mumbai",29412.0,0.0,14706.0,0,5,2.5,6
50,Omni Sport Leader (Women),Decathlon,Bangalore,16941.0,19059.0,18000.0,0,2,1.0,6
51,PRS Analyst,Viacom 18 Media Private Limited,Mumbai,14706.0,20588.0,17647.0,0,2,1.0,6
52,3D Generalist,Studio Image Works,Gurgaon,17647.0,29412.0,23529.0,1,0,0.5,21
53,Associate Accountant,Team Management Services,"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai, Ambernath, Kurla",11765.0,20588.0,16176.0,0,2,1.0,6
54,Business Development Associate,Kalvium,Bangalore,23529.0,29412.0,26471.0,0,5,2.5,7
55,Business Development Associate,Leverage Edu,Noida,38824.0,41176.0,40000.0,0,5,2.5,7
56,Data Analyst Consultant,Educate Girls,Work from home,23529.0,47059.0,35294.0,0,5,2.5,7
57,US IT Recruiter,Spectraforce Technologies,Mohali,17647.0,21176.0,19412.0,0,2,1.0,7
58,Human Resources (HR) Executive,Hear.com,Gurgaon,11765.0,17647.0,14706.0,0,2,1.0,7
59,Business Development Associate,Urban Company,Bangalore,11765.0,14706.0,13235.0,0,2,1.0,7
60,Business Development Manager,MyGate,"Gurgaon, Noida, Bangalore",23529.0,35294.0,29412.0,0,5,2.5,7
61,Accounts Executive - Taxation,AQM Technologies,Mumbai,11765.0,17647.0,14706.0,0,2,1.0,7
62,Business Development Associate,BYJUs,"Bangalore, Chennai, Hyderabad",23529.0,29412.0,26471.0,0,5,2.5,7
63,Feild Sales Officer,Paytm,"Madhya Pradesh, Punjab, Bihar, Hariyana, Mumbai, Ghaziabad",11765.0,17647.0,14706.0,0,2,1.0,7
64,Sales Recruitment,GBH Auto Mechanics & Services LLP,Work from home,11765.0,29412.0,20588.0,0,5,2.5,7
65,Business Development Executive,Plada Infotech Services Limited,"Noida, Gurgaon, Delhi",11765.0,23529.0,17647.0,0,2,1.0,7
66,Sales Manager,Bajaj Allianz Life Insurance Company Limited,Work from home,11765.0,17647.0,14706.0,0,2,1.0,7
67,Business Development Associate,BYJU'S The Learning App,"Delhi, Rajasthan, Gujrat, Punjab, Uttarkhanda",26471.0,32353.0,29412.0,0,5,2.5,7
68,Business Operations Analyst,Media.net,Mumbai,17647.0,0.0,8824.0,0,2,1.0,7
69,Corporate Sales Executive,PolicyBazaar.com,Gurgaon,11765.0,17647.0,14706.0,0,2,1.0,7
70,Field Sales Executive/Counselor/Relationship Executive,Lifecell International Private Limited,"Delhi, Gurgaon, Uttar Pradesh",14706.0,17647.0,16176.0,0,2,1.0,7
71,Interior Designer,NoBroker Technologies Solutions Private Limited,"Mumbai, Hyderabad, Noida, Gurgaon",18212.0,22447.0,20329.0,0,2,1.0,7
72,Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,24118.0,24706.0,24412.0,0,2,1.0,7
73,Omni Sport Leader,Decathlon,"Chinchwad, Wakad, Nigdi, Pimpri-Chinchwad, Pune, Akurdi, Aundh",16471.0,17647.0,17059.0,0,2,1.0,7
74,Interior Designer,NoBroker Technologies Solutions Private Limited,Gurgaon,11765.0,22353.0,17059.0,0,2,1.0,7
75,Telecaller,People Interactive Private Limited (Shaadi.com),Chennai,11765.0,16176.0,13971.0,0,2,1.0,7
76,Zonal Assistant Manager- Logistics,FirstCry.com,Work from home,21176.0,23529.0,22353.0,0,2,1.0,7
77,Executive - Catalogue Music,Saregama India Limited,Mumbai,20588.0,23529.0,22059.0,0,2,1.0,7
78,Inside Sales Specialist,Infinity Learn,Noida,23529.0,29412.0,26471.0,0,5,2.5,7
79,Jr. Graphic Designer,LimeRoad,Gurgaon,17647.0,23529.0,20588.0,0,2,1.0,7
80,Customer Success Associate,Media.net,"Bangalore, Mumbai",23529.0,26471.0,25000.0,0,2,1.0,7
81,Associate Accountant,RAK Ceramics,Samalkota,14706.0,23529.0,19118.0,0,2,1.0,7
82,Junior Recruiter,IMS Group,Ahmedabad,14471.0,17647.0,16059.0,0,2,1.0,7
83,Tele Associate | Free Listed Seller Content Enrichment,IndiaMART InterMESH Limited,Work from home,11765.0,13235.0,12500.0,0,2,1.0,7
84,Junior Lawyer,DR LAW,Delhi,11765.0,0.0,5882.0,0,2,1.0,7
85,Security Team Leader/Team Member,Taj Hotels,Chennai,17647.0,29412.0,23529.0,0,5,2.5,7
86,Business Development Associate - Sales,Planet Spark,Gurgaon,20588.0,38235.0,29412.0,0,5,2.5,7
87,Dy.manager - Sales,Ion Exchange India Limited,"Hyderabad, Bangalore, Chennai",17647.0,5882.0,11765.0,0,5,2.5,7
88,Telecaller,Globiva,Gurgaon,11765.0,23529.0,17647.0,0,2,1.0,7
89,Information Support Trainee,SISL Infotech Private Limited,Mumbai,11765.0,12941.0,12353.0,0,2,1.0,7
90,Sales Team Leader,GBH Auto Mechanics And Services LLP,Kolkata,27059.0,43765.0,35412.0,0,5,2.5,7
91,Curriculum Designer,Ampersand Group,Mumbai,17647.0,35294.0,26471.0,0,5,2.5,7
92,Finance Trainee,McDonald's,Delhi,11765.0,12941.0,12353.0,0,2,1.0,7
93,Business Development Associate,BYJU'S The Learning App,Kolkata,23529.0,41176.0,32353.0,0,5,2.5,7
94,Inside Sales Associate,Leverage Edu,Noida,38824.0,41176.0,40000.0,0,5,2.5,7
95,HR Recruiter,AQM Technologies,Mumbai,11765.0,29412.0,20588.0,0,5,2.5,7
96,Academic Content Writer,Zucol Group Of Companies,Indore,11765.0,14706.0,13235.0,0,2,1.0,7
97,Business Development Executive,Plada Infotech Services Limited,"Noida, Gurgaon, Delhi",11765.0,23529.0,17647.0,0,2,1.0,7
98,Omni Sport Leader,Decathlon Sports India Private Limited,Bangalore,11765.0,12353.0,12059.0,0,2,1.0,14
99,Business Development Associate,Urban Company,Hyderabad,11765.0,17647.0,14706.0,0,2,1.0,14
100,Academic Counselor,Infinity Learn,Bangalore,23529.0,29412.0,26471.0,0,5,2.5,14
101,Junior Digital Marketing Executive,SysTools Software Private Limited,Delhi,11765.0,20588.0,16176.0,0,2,1.0,14
102,Business Development Associate,BYJU'S The Learning App,"Bangalore, Hyderabad, Kochi, Chennai, Coimbatore, Visakhapatnam, Kozhikode",12353.0,50000.0,31176.0,0,5,2.5,14
103,Business Analyst,FirstCry.com,Dehradun,20588.0,23529.0,22059.0,0,2,1.0,14
104,Team Lead Finance,Apidel Technologies,Vadodara,29412.0,35294.0,32353.0,0,5,2.5,14
105,Junior Talent Acquisition Executive,Lodha Group,Mumbai,14706.0,17647.0,16176.0,0,2,1.0,14
106,Business Development Associate,BYJU'S The Learning App,Noida,35294.0,41176.0,38235.0,0,5,2.5,14
107,Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,12353.0,0.0,6176.0,0,2,1.0,14
108,Content Writer,Leverage Edu,Noida,17647.0,28235.0,22941.0,0,2,1.0,14
109,Business Development Counselor,Planet Spark,Gurgaon,11765.0,38235.0,25000.0,0,5,2.5,14
110,Business Development Associate,Planet Spark,Gurgaon,35294.0,41176.0,38235.0,0,5,2.5,14
111,Omni Sport Leader,Decathlon,Pune,14118.0,16471.0,15294.0,0,2,1.0,14
112,Sap Executive,Gravita India Limited,Jaipur,11765.0,14706.0,13235.0,0,2,1.0,14
113,Customer Success Consultant,PeopleStrong,Gurgaon,23529.0,29412.0,26471.0,0,5,2.5,14
114,Telecaller,Nirvasa,"Gurgaon, Delhi",11765.0,12353.0,12059.0,0,2,1.0,14
115,Talent Acquisition Executive,FirstCry,Dehradun,14706.0,17647.0,16176.0,0,2,1.0,14
116,Business Development Executive,Planet Spark,Gurgaon,29412.0,41176.0,35294.0,0,5,2.5,14
117,Business Development Executive,Lifecell International Private Limited,"Delhi, Kota, Ghaziabad, Noida, Jaipur, Baroda, Pune, Rajkot, Mumbai",17647.0,23529.0,20588.0,0,2,1.0,14
118,Sales Team Leader,GBH Auto Mechanics & Services LLP,Work from home,16471.0,17647.0,17059.0,0,2,1.0,14
119,Field Sales Executive,Lindstrom Services India,"Faridabad, Delhi",17647.0,26471.0,22059.0,0,2,1.0,14
120,Assistant Sales Manager,PropertyPistol Realty Private Limited,Navi Mumbai,11765.0,17647.0,14706.0,0,2,1.0,14
121,Omni Sport Leader (Sales Manager),Decathlon,"Thane, Mumbai",25882.0,32353.0,29118.0,0,5,2.5,14
122,Customer Care Executive,IDP,Surat,17647.0,20000.0,18824.0,0,2,1.0,14
123,Business Development Associate,Leverage Edu,Noida,38824.0,41176.0,40000.0,0,5,2.5,14
124,Content Marketer,KocharTech,Gurgaon,17647.0,29412.0,23529.0,0,5,2.5,14
125,Senior Executive,Mahindra Home Finance,"Thoothukudi, Kangeyam, Annur, Madurai, Pollachi, Palani, Tiruchendur, Tiruppur",17647.0,20588.0,19118.0,0,2,1.0,14
126,Performance Marketing,Worldwide Media (Times Group),Work from home,23529.0,29412.0,26471.0,0,5,2.5,14
127,Branch Credit Officer,Mahindra Home Finance,"Paramakudi, Nagercoil, Attur, Marthandam, Kaikatti",17647.0,20588.0,19118.0,0,2,1.0,14
128,Sports Manager,Decathlon Sport India Private Limited,Mumbai,20588.0,23529.0,22059.0,0,2,1.0,14
129,Sales Executive,Cultfit Healthcare Private Limited,Mumbai,12941.0,17647.0,15294.0,0,2,1.0,14
130,Store Staff,Pepperfry,Gurgaon,11765.0,12941.0,12353.0,0,2,1.0,14
131,Corporate Sales Executive,Pepperfry,Bangalore,14118.0,20588.0,17353.0,0,2,1.0,14
132,Business Development Trainee,Planet Spark,Gurgaon,23529.0,41176.0,32353.0,0,5,2.5,14
133,Business Development Associate,BYJU'S The Learning App,"Haridwar, Noida, Jaipur, Surat, Ludhiana, Bhavnagar, Delhi, Amritsar, Ghaziabad, Gurgaon, Ahmedabad, Karnal",26471.0,50000.0,38235.0,0,5,2.5,21
134,Omni Sport Leader,Decathlon Sport India Private Limited,Gurgaon,19765.0,21176.0,20471.0,0,2,1.0,21
135,Cloud Engineer Trainee,Redington India Limited,"Chennai, Mumbai, Bangalore, Delhi",26471.0,29412.0,27941.0,0,5,2.5,21
136,Music Tracker,Saregama India Limited,Chennai,11765.0,12706.0,12235.0,0,2,1.0,21
137,Business Development Executive,Plada Infotech Services Limited,"Bangalore, Hyderabad, Kolkata, Mumbai, Chennai, Delhi, Chandigarh, Gurgaon, Jaipur",12941.0,24706.0,18824.0,0,2,1.0,21
